"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mr88","mr89","mr90","mr91"
"105","EFNA5",1485.22465906512,1.05591479109141,0.0632602110276122,16.6916103177481,1.50846578573193e-62,1.83386340522553e-60,1988.81405528732,2022.03506067736,999.620277159918,930.429243135902
"106","ABCC4",8380.68592568033,-0.447384286323492,0.0269631198032558,-16.5924525643902,7.90262961327394e-62,9.51670443523037e-60,7081.78397234757,7100.63474796002,9769.75157612605,9570.57340628767
"107","TMEM87A",1964.83301757362,-0.879147422936715,0.0536506637895229,-16.3865152980344,2.38744454953436e-60,2.8481990350286e-58,1385.60900454533,1382.68855446139,2502.82487949101,2588.20963179675
"108","GALNT7",1400.27094811477,-1.03976825961949,0.0641905072926112,-16.1981623681478,5.19566004257518e-59,6.14098152254372e-57,941.03904831665,892.553043331194,1856.89980287959,1910.59189793163
"109","UGT2B17",552.15791678868,-1.7359892447184,0.107689869392147,-16.1202651142317,1.8381898974433e-58,2.1527058753086e-56,239.91109972693,269.484100215497,873.454611110608,825.781856101686
"110","TNFRSF10B",3196.70025682734,-0.674273068307343,0.0419965442687087,-16.0554417047533,5.23648063244587e-58,6.07669775210651e-56,2479.40777350443,2447.0603194065,3899.27391824192,3961.05901615652
"111","MYBPC1",726.818975534637,-1.47954079999266,0.092479962979698,-15.9985012139058,1.30888263422896e-57,1.50521502936331e-55,406.380026068064,361.723624450332,1048.14553333273,1091.02671828742
"112","GULP1",3109.09944620187,-0.675996864650094,0.0423307574399739,-15.9694015777694,2.08779307940802e-57,2.37952488023601e-55,2386.38102054909,2400.94055728908,3822.71184739149,3826.36435957782
"113","KCNMA1",3357.74806874723,-0.659628788380969,0.0415202441526227,-15.8869197867976,7.80706520294353e-57,8.8192201164225e-55,2615.52060151277,2590.8454601255,4179.64206501817,4044.98414833247
"114","JAG1",961.049517335627,1.25682823123999,0.0794282841143858,15.823434249568,2.14468204449254e-56,2.40147949981993e-54,1398.33898126553,1312.15244769358,560.736293552489,572.970346830906
"115","CD164",4186.88654563494,-0.585559139673282,0.037169272698373,-15.7538498109734,6.46244471418259e-56,7.17331363274267e-54,3394.0076394022,3304.34530935378,4999.17972482565,5050.01350895811
"116","SLC4A4",1129.94657635095,-1.15028194835162,0.073496789459377,-15.6507781742956,3.2818186191806e-55,3.61141505808968e-53,680.564140041698,722.542939839538,1615.35186104159,1501.32736448098
"117","ANKRD37",331.762693149783,-2.24951697606788,0.14394793847867,-15.6272955336642,4.74519778291044e-55,5.17713245289331e-53,120.445164352703,110.325705457351,557.501276474301,538.778626314776
"118","DEGS1",3491.10336408331,0.631149318355482,0.0404207769595251,15.614477648153,5.80183251454421e-55,6.27630441086075e-53,4254.74991148371,4231.26209700776,2710.94431152107,2767.45713632071
"119","LMNB1",495.901806358201,1.79348225149259,0.115039912284983,15.5900870912495,8.50175706522886e-55,9.11974192753331e-53,797.092388480493,742.437739184307,227.529534499183,216.547563268823
"120","GADD45G",982.066259209077,-1.19699213600504,0.077424064468866,-15.4602079368537,6.43903412809827e-54,6.84952255376453e-52,573.828181387677,618.547397810068,1389.97900459453,1345.91045304403
"121","SCAP",2417.10755773008,-0.740220890596612,0.0481055197651651,-15.3874419029276,1.98735169493465e-53,2.09657391618519e-51,1834.09587668792,1786.91470478464,3033.36768031375,3014.05196913401
"122","BCAP29",1718.00464928978,-0.873976303086717,0.0569881656948125,-15.3361016700749,4.38765196624631e-53,4.59085060238804e-51,1216.20239126876,1209.96552378636,2193.34157901108,2252.50910309293
"123","PGM3",1247.02008358921,-1.06033814303167,0.069339281561624,-15.292026671625,8.64184081321311e-53,8.9685445512736e-51,848.01229536131,769.567011018082,1694.07060994415,1676.43041803328
"124","SLC30A4",677.961549168687,1.42283516737357,0.0939671669062227,15.1418331979034,8.57885844265854e-52,8.83138129197874e-50,981.187436434218,993.835658177287,374.18364204368,362.639460019561
"125","HPGD",840.359280611679,-1.25075424415975,0.082899177365006,-15.0876556790506,1.95257461954966e-51,1.99396920148412e-49,511.157526765132,483.805347702319,1190.48628477298,1175.98796320629
"126","CALR",11098.9974501705,-0.382669951594276,0.02540017787541,-15.0656406215462,2.72511255128743e-51,2.76079854898286e-49,9506.35492305728,9762.01631485334,12775.0824417622,12352.5361210092
"127","MPZL1",3258.33717593344,-0.619955937323122,0.041535597938663,-14.9258941267351,2.23617897251216e-50,2.2476239830014e-48,2581.24758726607,2556.48171580272,3980.14934519661,3915.47005546834
"128","MYCBP2",2600.12395806317,-0.686664609790133,0.0462218069540016,-14.8558581985659,6.37463425039705e-50,6.35720360986862e-48,1989.7932842658,1995.81009790471,3183.25680493644,3231.63564514574
"129","DUSP16",1303.13398134691,-0.968136952162593,0.0655739780687563,-14.7640417841887,2.4984799013603e-49,2.47233301867165e-47,882.285309608015,880.797025536559,1752.30091735153,1697.15267289154
"130","FADS2",9913.21936583412,-0.647690181954781,0.0438840027329503,-14.7591409538506,2.68681259341219e-49,2.63824328883897e-47,7507.74857798518,7939.83355668479,12294.1432361383,11911.1520925282
"131","TSPAN13",2302.2769761533,-0.731682634401469,0.0499093032219535,-14.6602454285442,1.15853438692565e-48,1.12890774420656e-46,1722.46377314151,1738.98632454497,2813.38651899701,2934.2712879297
"132","DBI",3117.07419858003,-0.618338506546871,0.0424451395137324,-14.5679461448541,4.49193831708334e-48,4.343908531634e-46,2435.34246947296,2482.3283727904,3795.75337173992,3754.87258031682
"133","GAPDH",17008.463044192,-0.278446583574067,0.0194105801704376,-14.3450933011339,1.14346395573103e-46,1.09746747330124e-44,15309.2658495135,15433.8427462345,18707.0254241319,18583.7181568881
"134","LAMC1",7867.05875148381,-0.389149215548182,0.0273617367824001,-14.2223872206275,6.65436106451246e-46,6.33902380511206e-44,6834.03904079282,6791.36104905498,8888.74859183301,8954.08632425441
"135","GLYATL1",1325.29929138804,-0.917441126506384,0.0647965616057821,-14.1587933645003,1.6479954628664e-45,1.54687897172873e-43,930.267529553401,905.213370186956,1717.79406851753,1747.92219729428
"136","BTG1",2014.03685408664,0.772029401495569,0.0545265083044783,14.1587903847524,1.64806533611522e-45,1.54687897172873e-43,2530.32768038525,2551.05586143597,1430.95588758491,1543.80798694042
"137","HMGCS1",1681.81059405646,-0.852925077094731,0.0604154084367668,-14.1176745993108,2.95585025691125e-45,2.75411887076439e-43,1154.51096562469,1241.61634092576,2226.77008881902,2104.34498085637
"138","KLK4",1471.29553187502,-0.883490083119616,0.0625995524353764,-14.113361018542,3.14237024049091e-45,2.90669247245409e-43,1040.92040412133,1028.19940250007,1853.6647858014,1962.39753507728
"139","PPP1CB",5831.04250954089,-0.449869376704122,0.0318844862441379,-14.1093500224371,3.32629613797655e-45,3.05468850368854e-43,4945.10634131018,4913.11112909664,6816.18098374093,6649.77158401583
"140","ERGIC1",4989.06408787348,-0.496716204081467,0.0353262446356237,-14.0608267084401,6.61093905910047e-45,6.02775979210125e-43,4052.04951293892,4224.02762451875,5770.19212846032,5909.98708557593
"141","GLB1L2",790.565894196372,-1.1928204880879,0.084952019049216,-14.0411081624423,8.73361914053378e-45,7.90671264744069e-43,488.635260260155,473.857948029935,1113.92421392254,1085.84615457286
"142","TNFRSF19",1784.21081593237,0.800771648080279,0.0577663509045226,13.8622508699539,1.07257334669111e-43,9.6418301200789e-42,2289.43735167984,2245.39939877544,1251.95160925854,1350.05490401568
"143","TUBA1B",1562.36715156869,0.848007438835207,0.0614880034213862,13.7914290861534,2.87017228611194e-43,2.56208036588944e-41,1955.5202700191,2061.82465936689,1093.43577242735,1138.68790446142
"144","C1orf116",3838.10110506464,-0.585417443432632,0.0424545938173542,-13.7892602612377,2.95777282240497e-43,2.62194236652774e-41,2968.04303376459,3169.60325924603,4725.28161220578,4489.47651504216
"145","BICD2",802.355228636969,1.17178457463324,0.0852776240443479,13.740821086008,5.78163537748441e-43,5.08983279955783e-41,1100.65337180844,1122.24754485716,479.860866597803,506.659131284472
"146","HERPUD1",2046.08170408457,-0.738468868510902,0.0541542759346599,-13.6363907699903,2.43307678363817e-42,2.12727569473571e-40,1489.40727626392,1577.11500260345,2498.51152338676,2619.29301408414
